userAgent,anomaly_score,log_total_calls,out_degree,entropy,max_call
Boto3/1.9.201 Python/2.7.12 Linux/4.4.0-159-generic Botocore/1.12.201,979.5938,13.492997,10.0,0.102925465,713356.0
Boto3/1.9.201 Python/2.7.12 Linux/4.4.0-157-generic Botocore/1.12.201,616.9926,13.300662,11.0,0.1287172,585830.0
aws-cli/2.0.50 Python/3.8.5 Darwin/19.6.0 source/x86_64 command/ec2.run-instances,28.02353,1.3862944,1.0,0.0,3.0
aws-sdk-nodejs/2.279.1 linux/v10.7.0 promise,28.02353,1.3862944,1.0,0.0,3.0
aws-sdk-nodejs/2.279.1 linux/v10.8.0 promise,26.634079,2.8332133,1.0,0.0,16.0
aws-sdk-nodejs/2.221.1 win32/v8.11.1 callback,24.805239,6.302619,3.0,0.12602802,531.0
aws-sdk-nodejs/2.449.0 win32/v12.2.0 callback,24.691132,6.6133842,3.0,0.15723321,718.0
Botocore/1.16.26 Python/2.7.18 Linux/5.4.0-2-amd64,24.456297,6.731018,778.0,6.5751653,15.0
aws-sdk-nodejs/2.725.0 win32/v12.2.0 callback,24.160524,7.6043963,2.0,0.026011795,1998.0
Boto3/1.7.42 Python/2.7.12 Linux/4.4.0-131-generic Botocore/1.10.42,24.066088,7.6820216,6.0,0.36674005,2016.0
Botocore/1.12.25 Python/2.7.15 Linux/4.16.0-kali2-amd64,23.082237,8.391857,420.0,5.435299,300.0
Boto3/1.9.231 Python/2.7.15+ Linux/4.15.0-64-generic Botocore/1.12.231,20.86187,9.230829,11.0,0.09837226,10063.0
Boto3/1.7.4 Python/2.7.12 Linux/4.4.0-119-generic Botocore/1.10.4,18.540514,9.675646,7.0,1.0029644,8431.0
Boto3/1.7.4 Python/3.6.8 Linux/4.18.0-kali3-amd64 Botocore/1.10.4,13.643641,5.7430034,252.0,5.0642457,46.0
console.amazonaws.com,12.259021,8.353733,146.0,4.019748,386.0
Boto3/1.14.51 Python/3.8.5 Linux/4.19.76-linuxkit Botocore/1.17.51,11.561102,7.213032,218.0,3.9880443,166.0
aws-cli/1.11.30 Python/2.7.11 Darwin/16.4.0 botocore/1.4.87,11.410793,4.0430512,34.0,3.254663,8.0
aws-cli/1.16.99 Python/2.7.15rc1 Linux/4.9.93-boot2docker botocore/1.12.89,9.515792,4.060443,10.0,1.5359786,29.0
aws-cli/1.14.9 Python/2.7.13 Linux/4.9.81-35.56.amzn1.x86_64 botocore/1.8.13,9.39874,5.0106354,25.0,2.0965226,65.0
aws-cli/1.4.2 Python/3.4.2 Linux/4.4.0-0.bpo.1-amd64,9.133958,1.609438,2.0,0.56233513,3.0
Boto3/1.9.86 Python/3.7.3 Linux/5.1.0-parrot1-3t-amd64 Botocore/1.12.170,8.894151,9.445649,61.0,2.3142478,6604.0
[Boto3/1.15.13 Python/3.8.5 Darwin/19.6.0 Botocore/1.18.13 Resource],8.306004,10.063393,1.0,0.0,23467.0
aws-cli/1.16.130 Python/2.7.15rc1 Linux/4.15.0-47-generic botocore/1.12.120,8.287758,6.8079348,161.0,4.4245763,98.0
ec2.amazonaws.com,8.07114,10.695552,3.0,0.0757608,43555.0
aws-cli/1.16.161 Python/2.7.16 Linux/3.18.14-156973 botocore/1.12.151,7.6912327,4.0073333,6.0,1.413429,26.0
Boto3/1.9.171 Python/3.7.3 Linux/5.1.0-parrot1-3t-amd64 Botocore/1.12.171,7.1536345,9.933289,85.0,2.5689828,5420.0
aws-cli/1.16.308 Python/2.7.17 Linux/4.15.0-76-generic botocore/1.13.44,6.953831,2.7725887,4.0,1.3397943,5.0
